ESTADO,SCORE_ADVANCE,EXPERIENCIA_SF,BGI60_12,NUMCUENTASINBB,ANTIGUEDADMAXIMAPASIVOS,MAXIMAANTIGUEDADCTASABIERTAS,NUMSUSCRIPTORSECTORFINAN,MAXIATRASOU12MSECREAL,MAXANTIGCARTERASCERRADASU12M,MINIMAANTIGUEDADCTASCERRADAS,ANTIGUEDADMAXIMACREDITO,CONTMORA30SECREALU12M,VLR_COUTA_DATACREDITO,PORCENTAJEDECUENTASALDIA,VTAR_PROMEDIOLIMITES,VREAL_SUMASALDOACTUAL,VPRO_ENDSISTEMASINBB
b'APROBADO',659.0,b'Cliente Sin Experiencia',0.0,4.0,20.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,69000.0,100.0,0.0,0.0,-999.0
b'APROBADO',566.0,b'Cliente Con Experiencia',0.0,2.0,28.0,17.0,2.0,0.0,-999.0,-999.0,15.0,0.0,1355000.0,100.0,805000.0,4126000.0,827400.0
b'APROBADO',748.0,b'Cliente Sin Experiencia',0.0,4.0,55.0,-999.0,-999.0,0.0,-999.0,-999.0,20.0,0.0,83000.0,100.0,0.0,519000.0,0.0
b'APROBADO',712.0,b'Cliente Sin Experiencia',0.0,2.0,134.0,-999.0,1.0,0.0,-999.0,-999.0,25.0,0.0,461000.0,100.0,0.0,1936000.0,1347000.0
b'APROBADO',627.0,b'Cliente Sin Experiencia',0.0,3.0,25.0,3.0,1.0,0.0,-999.0,-999.0,3.0,0.0,149000.0,100.0,210000.0,265000.0,42000.0
b'APROBADO',639.0,b'Cliente Sin Experiencia',0.0,3.0,37.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,49000.0,100.0,0.0,1000.0,-999.0
b'APROBADO',698.0,b'Cliente Sin Experiencia',0.0,2.0,147.0,11.0,2.0,0.0,-999.0,-999.0,11.0,0.0,327000.0,100.0,425000.0,353000.0,540400.0
b'APROBADO',731.0,b'Cliente Sin Experiencia',0.0,1.0,33.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,,100.0,0.0,0.0,-999.0
b'APROBADO',0.0,b'Cliente Sin Experiencia',0.0,2.0,33.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,,100.0,0.0,-999.0,-999.0
b'APROBADO',695.0,b'Cliente Sin Experiencia',0.0,1.0,34.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,99000.0,100.0,0.0,0.0,-999.0
